rule,action,phase,signals,frequency,edge_6h,t_6h,hit_6h,edge_24h,t_24h,hit_24h,edge_72h,t_72h,hit_72h,edge_mean,good_horizons,enough_signals,selective,keep,bars,reason
BEAR_STRUCTURE,SHORT,market,7869,0.44991423670668956,-0.05754306641538072,-2.3898869247801513,0.4788248760015261,-0.17679645940851263,-3.6490735860773524,0.4778840025493945,-0.22706057622264586,-2.8569726777750137,0.47713004484304933,-0.15380003401551307,0,True,False,False,17490,fires too often
HIGHER_LOW,LONG,market,641,0.03664951400800458,-0.05105896796061134,-0.6818848950948434,0.44617784711388453,-0.14820294383200905,-0.983481802171074,0.43213728549141966,-0.3248114269483884,-1.2425088028355482,0.46177847113884557,-0.1746911129136696,0,True,True,False,17490,no consistent edge
HIGHER_HIGH_CONTINUE,LONG,market,604,0.03453401943967982,-0.024863763373043572,-0.3216575842091754,0.47019867549668876,-0.2205511773677451,-1.4568535001026621,0.4685430463576159,-0.280586689709881,-1.0435621281467913,0.45695364238410596,-0.17533387681688986,0,True,True,False,17490,no consistent edge
MARUBOZU_BEAR,SHORT,market,589,0.03367638650657519,-0.03119445400054849,-0.3654276076693076,0.5365025466893039,-0.08801808017819218,-0.5407786758444646,0.4940577249575552,-0.46172354402101834,-1.7083743701057148,0.47368421052631576,-0.19364535939991967,0,True,True,False,17490,no consistent edge
DNA_ACCUMULATION_01,LONG,market,709,0.04053744997141224,-0.05941229617001585,-0.7856171900330022,0.46685472496473907,-0.18170801428592917,-1.2634647128925214,0.4703389830508475,-0.35878307943555887,-1.442494279542933,0.4745042492917847,-0.19996779663050127,0,True,True,False,17490,no consistent edge
ENTRY_Q3,LONG,score,316,0.018067467124070896,-0.13568313759116546,-1.5354594517096005,0.439873417721519,-0.1859169779614213,-0.9060074880315458,0.4778481012658228,-0.30921720090862437,-0.884557968703085,0.49050632911392406,-0.2102724388204037,0,True,True,False,17490,no consistent edge
BOS_RETEST_SHORT,SHORT,market,338,0.019325328759291025,0.200124055353399,1.9324903009100471,0.5443786982248521,-0.24542414541388247,-1.0673604010915685,0.47928994082840237,-0.6164141779198813,-1.7764014330835411,0.4688427299703264,-0.22057142266012156,1,True,True,False,17490,no consistent edge
BARRIER_L2,EXIT25,market,1383,0.079073756432247,-0.1181159474842574,-1.6190242343562098,0.5169920462762111,-0.4625361708449255,-3.343064636402335,0.4895155459146782,-0.18869928574314,-0.92003579520367,0.4703328509406657,-0.2564504680241076,0,True,True,False,17490,no consistent edge
HIST1000_SELL,SHORT,market,347,0.019839908519153803,-0.22772193058614243,-2.104489517116616,0.5043227665706052,-0.794451980063335,-3.2441431246163432,0.4899135446685879,0.25125300481396473,0.6793012811335233,0.4899135446685879,-0.2569736352785042,0,True,True,False,17490,no consistent edge
MAJOR_SUPPLY,EXIT100,market,347,0.019839908519153803,-0.22772193058614243,-2.104489517116616,0.5043227665706052,-0.794451980063335,-3.2441431246163432,0.4899135446685879,0.25125300481396473,0.6793012811335233,0.4899135446685879,-0.2569736352785042,0,True,True,False,17490,no consistent edge
HIST200_SELL,SHORT,market,517,0.029559748427672956,-0.08473009941106575,-1.007079976010582,0.5338491295938105,-0.452347926227893,-2.3774032925483453,0.5261121856866537,-0.26361846170830505,-0.8283622932375604,0.4816247582205029,-0.26689882911575463,0,True,True,False,17490,no consistent edge
LOWER_HIGH,SHORT,market,565,0.03230417381360778,-0.1816627940350618,-2.193128663052934,0.46808510638297873,-0.3752464015900244,-2.1002570141780517,0.4716312056737589,-0.45279276147302383,-1.561487629117297,0.47771836007130125,-0.33656731903270337,0,True,True,False,17490,no consistent edge
FIB_236_LONG,LONG,market,182,0.010405946255002858,-0.20488217133395015,-1.6400100912276185,0.43956043956043955,-0.6767197364799854,-2.240220950646339,0.42857142857142855,-0.5551998330001631,-1.1717800987502425,0.4,-0.4789339136046995,0,True,True,False,17490,no consistent edge
SMART_DISTRIBUTION,SHORT,market,110,0.006289308176100629,-0.44827655118136644,-1.1274895704256267,0.4727272727272727,-0.6548690792747284,-1.0783987333876652,0.5181818181818182,-0.4089614756958164,-0.6276040924257812,0.5412844036697247,-0.5040357020506371,0,True,True,False,17490,no consistent edge
MASTER_LONG,LONG,score,53,0.0030303030303030303,-0.3654419383015005,-1.81912688493713,0.32075471698113206,-0.20235774828215763,-0.3730170455998208,0.49056603773584906,-1.0180679204126775,-1.4508870153038524,0.39622641509433965,-0.5286225356654451,0,False,True,False,17490,too few signals
MAJOR_STRUCTURE_FAILURE,EXIT100,market,21,0.0012006861063464838,-0.10803377068309365,-0.5271604618166548,0.5714285714285714,-0.41677646697262827,-0.6483746053930223,0.47619047619047616,-1.9842809543226085,-2.1457329893119406,0.3333333333333333,-0.8363637306594435,0,False,True,False,17490,too few signals
ENTRY_Q4,LONG,score,58,0.003316180674671241,-0.5783653707095655,-2.990275051379562,0.41379310344827586,-0.9327028512735944,-1.9503204827893637,0.3793103448275862,-2.1286038213873164,-3.022726055421169,0.39655172413793105,-1.2132240144568254,0,False,True,False,17490,too few signals
SUPPORT_BREAK,SHORT,market,77,0.00440251572327044,-1.1336496026905518,-2.1000768045496505,0.3246753246753247,-1.3560978973539444,-1.6840699104328196,0.36363636363636365,-1.1842889665920717,-1.2719286158347844,0.36,-1.2246788222121892,0,False,True,False,17490,too few signals
